Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
CO;DF;Brasília;M;entre 21 a 30 anos;2014;11;28/11/2014;15/12/2014;02/01/2015;10;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Serviço de pagamento online/ via celular;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;1
CO;DF;Brasília;M;entre 41 a 50 anos;2014;11;27/11/2014;15/12/2014;05/01/2015;10;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Porto Alegre;F;entre 21 a 30 anos;2014;11;26/11/2014;16/12/2014;06/01/2015;9;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;11;20/11/2014;12/12/2014;02/01/2015;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Serviços na internet (provedor, hospedagem, antivírus, vídeos online, aplicativos, jogos);Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Bagé;M;entre 41 a 50 anos;2014;11;22/11/2014;15/12/2014;05/01/2015;9;Banco Cifra;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Stand, feiras e eventos;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;M;entre 21 a 30 anos;2014;12;29/12/2014;08/01/2015;26/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;MG;Timóteo;M;entre 21 a 30 anos;2014;12;31/12/2014;05/01/2015;23/01/2015;5;Submarino;Comércio Eletrônico;Demais Produtos;Livros e papelaria (material didático, jornais, revistas, artigos de escritório, etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5
CO;DF;Brasília;M;entre 31 a 40 anos;2014;12;29/12/2014;05/01/2015;26/01/2015;7;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamento de Imóveis;Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;mais de 70 anos;2014;12;30/12/2014;09/01/2015;30/01/2015;10;Smiles;Programas de Fidelidade;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Informação;Informações incompletas / inadequadas sobre o serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Itaperuna;M;até 20 anos;2014;12;30/12/2014;09/01/2015;20/01/2015;10;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;29/12/2014;08/01/2015;29/01/2015;10;Smiles;Programas de Fidelidade;Transportes;Aéreo;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Belford Roxo;M;entre 41 a 50 anos;2014;12;30/12/2014;08/01/2015;29/01/2015;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;RN;Água Nova;F;entre 31 a 40 anos;2014;12;29/12/2014;08/01/2015;29/01/2015;10;Walmart.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;12;29/12/2014;08/01/2015;29/01/2015;10;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Santo André;F;entre 31 a 40 anos;2014;12;17/12/2014;;18/01/2015;;Shopfato.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;N;Finalizada não avaliada;Não Avaliada;
S ;SC;São José;F;entre 41 a 50 anos;2014;12;20/12/2014;29/12/2014;19/01/2015;9;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Atendimento / SAC;SAC - Dificuldade em obter protocolo, gravação ou histórico;Telefone;N;S;Finalizada não avaliada;Não Avaliada;
N ;RO;Porto Velho;F;mais de 70 anos;2014;12;19/12/2014;29/12/2014;19/01/2015;10;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Margem consignável - bloqueio/ contestação;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 31 a 40 anos;2014;12;22/12/2014;29/12/2014;19/01/2015;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Aracruz;M;entre 21 a 30 anos;2014;12;22/12/2014;29/12/2014;19/01/2015;7;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Jupi;F;até 20 anos;2014;12;23/12/2014;29/12/2014;19/01/2015;6;Casasbahia.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Barreiras;M;entre 31 a 40 anos;2014;12;27/12/2014;29/12/2014;19/01/2015;2;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Caeté;F;entre 21 a 30 anos;2014;12;27/12/2014;06/01/2015;27/01/2015;10;Cartão Carrefour;Bancos, Financeiras e Administradoras de Cartão;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;entre 41 a 50 anos;2014;12;27/12/2014;06/01/2015;27/01/2015;10;Casasbahia.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Entrega do Produto;Demora na montagem / montagem incorreta / incompleta;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;São Pedro da Aldeia;M;entre 21 a 30 anos;2014;12;27/12/2014;06/01/2015;27/01/2015;10;Walmart.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 21 a 30 anos;2014;12;30/12/2014;06/01/2015;27/01/2015;7;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Negativação indevida;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
CO;MT;Cuiabá;M;entre 21 a 30 anos;2014;12;30/12/2014;06/01/2015;27/01/2015;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Jóia;F;entre 41 a 50 anos;2014;12;28/12/2014;06/01/2015;27/01/2015;9;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;30/12/2014;06/01/2015;27/01/2015;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 31 a 40 anos;2014;12;10/12/2014;30/12/2014;20/01/2015;8;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Embu das Artes;F;entre 21 a 30 anos;2014;12;20/12/2014;30/12/2014;20/01/2015;10;Marítima Saúde;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Niterói;M;entre 31 a 40 anos;2014;12;22/12/2014;30/12/2014;20/01/2015;8;Walmart.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;MS;Campo Grande;F;entre 51 a 60 anos;2014;12;22/12/2014;30/12/2014;20/01/2015;8;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Carlos;M;entre 31 a 40 anos;2014;12;21/12/2014;30/12/2014;20/01/2015;9;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Seguro de Vida / Acidentes Pessoais / Desemprego;Contrato / Oferta;Venda casada (imposição de seguro, empréstimo, título de capitalização etc);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
S ;SC;Balneário Camboriú;M;entre 21 a 30 anos;2014;12;20/12/2014;30/12/2014;20/01/2015;10;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Ibiúna;M;entre 21 a 30 anos;2014;12;20/12/2014;30/12/2014;20/01/2015;10;Extra.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;22/12/2014;30/12/2014;20/01/2015;8;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;12;22/12/2014;30/12/2014;20/01/2015;8;Bradescard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Informação;Informações incompletas / inadequadas sobre o serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;M;entre 21 a 30 anos;2014;12;23/12/2014;30/12/2014;20/01/2015;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Negativação indevida;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Porto Alegre;M;entre 61 a 70 anos;2014;12;22/12/2014;30/12/2014;20/01/2015;8;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Taubaté;M;entre 31 a 40 anos;2014;12;22/12/2014;30/12/2014;20/01/2015;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Venda casada;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;F;mais de 70 anos;2014;12;23/12/2014;30/12/2014;20/01/2015;7;Bradesco Promotora ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Portabilidade não efetivada;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 51 a 60 anos;2014;12;29/12/2014;30/12/2014;20/01/2015;1;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Loja física;N;S;Finalizada não avaliada;Não Avaliada;
S ;RS;Alvorada;M;entre 31 a 40 anos;2014;12;29/12/2014;30/12/2014;20/01/2015;1;Itaucard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;M;entre 21 a 30 anos;2014;12;18/12/2014;10/01/2015;31/01/2015;10;Pontofrio.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;
N ;PA;São Miguel do Guamá;M;entre 21 a 30 anos;2014;12;31/12/2014;10/01/2015;31/01/2015;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Contrato / Oferta;Serviço indisponível para a região ou sem previsão;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Cachoeiro de Itapemirim;M;entre 21 a 30 anos;2014;12;31/12/2014;10/01/2015;31/01/2015;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Maringá;F;até 20 anos;2014;12;09/12/2014;18/12/2014;08/01/2015;9;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Ganhei de presente;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;12;09/12/2014;19/12/2014;06/01/2015;10;Smiles;Programas de Fidelidade;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc);Internet;S;S;Finalizada avaliada;Resolvida;3
SE;SP;Osasco;F;entre 31 a 40 anos;2014;12;09/12/2014;16/12/2014;06/01/2015;7;Submarino Viagens;Agências de Viagens;Turismo/Viagens;Pacote / excursão / agência de turismo;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 41 a 50 anos;2014;12;02/12/2014;12/12/2014;02/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Jaboatão dos Guararapes;F;entre 21 a 30 anos;2014;12;02/12/2014;12/12/2014;02/01/2015;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 31 a 40 anos;2014;12;11/12/2014;15/12/2014;05/01/2015;4;Bradesco Financiamentos;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Campos dos Goytacazes;F;entre 21 a 30 anos;2014;12;11/12/2014;19/12/2014;09/01/2015;8;Walmart.com;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Campos dos Goytacazes;M;entre 51 a 60 anos;2014;12;11/12/2014;17/12/2014;07/01/2015;6;Walmart.com;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Vitória;M;entre 21 a 30 anos;2014;12;11/12/2014;19/12/2014;09/01/2015;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Vitória;M;entre 21 a 30 anos;2014;12;11/12/2014;20/12/2014;10/01/2015;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;N;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;12;12/12/2014;18/12/2014;08/01/2015;6;Bradescard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;F;entre 31 a 40 anos;2014;12;12/12/2014;22/12/2014;07/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança após cancelamento do serviço;Loja física;S;S;Finalizada avaliada;Resolvida;4
S ;PR;Maringá;F;entre 21 a 30 anos;2014;12;12/12/2014;13/12/2014;03/01/2015;1;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança após cancelamento do serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;CE;Tianguá;M;entre 21 a 30 anos;2014;12;12/12/2014;19/12/2014;06/01/2015;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;12;13/12/2014;23/12/2014;13/01/2015;10;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;MT;Várzea Grande;M;entre 31 a 40 anos;2014;12;15/12/2014;16/12/2014;06/01/2015;1;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Aramari;F;entre 21 a 30 anos;2014;12;16/12/2014;22/12/2014;12/01/2015;6;Casasbahia.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;GO;Rio Verde;F;entre 61 a 70 anos;2014;12;16/12/2014;17/12/2014;07/01/2015;1;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;12;16/12/2014;26/12/2014;16/01/2015;10;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Serviço de pagamento online/ via celular;Vício de Qualidade;Funcionamento inadequado do serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Botucatu;F;entre 31 a 40 anos;2014;12;16/12/2014;19/12/2014;07/01/2015;3;Americanas.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Macaé;M;entre 51 a 60 anos;2014;12;03/12/2014;11/12/2014;01/01/2015;8;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Margem consignável - bloqueio/ contestação;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 21 a 30 anos;2014;12;04/12/2014;12/12/2014;02/01/2015;8;Pontofrio.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Ganhei de presente;S;S;Finalizada não avaliada;Não Avaliada;
S ;SC;Jaraguá do Sul;M;entre 51 a 60 anos;2014;12;16/12/2014;23/12/2014;13/01/2015;7;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;12;16/12/2014;24/12/2014;14/01/2015;8;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Realeza;M;entre 41 a 50 anos;2014;12;08/12/2014;13/12/2014;03/01/2015;5;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 21 a 30 anos;2014;12;16/12/2014;22/12/2014;12/01/2015;6;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Cascavel;F;entre 31 a 40 anos;2014;12;16/12/2014;24/12/2014;14/01/2015;8;Casas Bahia;Varejo;Demais Produtos;Móveis e Colchões;Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Loja física;N;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Carpina;M;entre 21 a 30 anos;2014;12;16/12/2014;18/12/2014;08/01/2015;2;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de Telefonia e Informática;Microcomputador e laptops;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Juiz de Fora;F;entre 21 a 30 anos;2014;12;16/12/2014;26/12/2014;16/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Lauro de Freitas;F;entre 31 a 40 anos;2014;12;09/12/2014;18/12/2014;08/01/2015;9;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Demais aparelhos de comunicação;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
