Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;SP;Mauá;F;entre 51 a 60 anos;2014;12;15/12/2014;23/12/2014;13/01/2015;8;Bradesco Promotora ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Margem consignável - bloqueio/ contestação;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Cotia;M;entre 21 a 30 anos;2014;12;15/12/2014;15/12/2014;05/01/2015;0;Claro Fixo - Embratel;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;São João da Barra;M;entre 21 a 30 anos;2014;12;04/12/2014;13/12/2014;03/01/2015;9;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Ganhei de presente;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Senhor do Bonfim;F;entre 21 a 30 anos;2014;12;18/12/2014;23/12/2014;13/01/2015;5;Shoptime;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Cambé;F;entre 21 a 30 anos;2014;12;18/12/2014;24/12/2014;11/01/2015;6;Extra.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Resolvida;4
SE;RJ;Itaboraí;F;entre 21 a 30 anos;2014;12;30/12/2014;09/01/2015;27/01/2015;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Atendimento / SAC;SAC - Dificuldadede de contato / acesso;Internet;N;S;Finalizada avaliada;Resolvida;5
CO;DF;Brasília;M;entre 51 a 60 anos;2014;12;30/12/2014;07/01/2015;28/01/2015;8;Centauro.com.br;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Sorocaba;M;entre 21 a 30 anos;2014;12;30/12/2014;03/01/2015;24/01/2015;4;Submarino;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;MS;Bonito;F;entre 21 a 30 anos;2014;12;15/12/2014;20/12/2014;10/01/2015;5;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;F;entre 41 a 50 anos;2014;12;15/12/2014;;16/01/2015;;O Boticário;Perfumaria, Cosméticos e Higiene Pessoal;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Domicílio;S;N;Finalizada não avaliada;Não Avaliada;
NE;CE;Fortaleza;F;entre 51 a 60 anos;2014;12;17/12/2014;19/12/2014;08/01/2015;2;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Niterói;F;entre 41 a 50 anos;2014;12;04/12/2014;12/12/2014;02/01/2015;8;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Portabilidade não efetivada;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;12;08/12/2014;13/12/2014;03/01/2015;5;Americanas.com;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Maringá;M;entre 21 a 30 anos;2014;12;19/12/2014;29/12/2014;19/01/2015;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;entre 31 a 40 anos;2014;12;15/12/2014;18/12/2014;01/01/2015;3;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Nazaré;M;entre 21 a 30 anos;2014;12;15/12/2014;23/12/2014;03/01/2015;8;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Loja física;S;S;Finalizada avaliada;Resolvida;5
SE;SP;São Bernardo do Campo;F;entre 31 a 40 anos;2014;12;18/12/2014;22/12/2014;09/01/2015;4;Claro Fixo - Embratel;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Loja física;S;S;Finalizada avaliada;Resolvida;4
NE;PE;Jaboatão dos Guararapes;M;entre 21 a 30 anos;2014;12;18/12/2014;26/12/2014;14/01/2015;8;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada avaliada;Resolvida;2
NE;BA;Barreiras;M;entre 41 a 50 anos;2014;12;04/12/2014;12/12/2014;02/01/2015;8;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Descortesia / despreparo / demora;Internet;S;S;Finalizada não avaliada;Não Avaliada;
